id,titulo,tipo,status_juridico,autoridade,fonte_oficial,data_publicacao,data_verificacao,temas,aplicacoes,artigos_ou_topicos_chave,relacionados,observacoes
constituicao_federal_1988,Constituição Federal de 1988,constituicao,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,1988-10-05,2026-06-24,ordem econômica | meio ambiente | tributação,capital_social | tributacao | carbono,arts. 170 e 225,codigo_civil_2002 | ctn_1966,Fonte constitucional transversal; usar apenas artigos pertinentes ao caso.
lei_8929_1994_cpr,Lei nº 8.929/1994 — Cédula de Produto Rural,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/leis/l8929.htm,1994-08-22,2026-06-24,CPR | titulo de credito | endosso | garantia | execucao,garantia_colateral | cessao_de_credito | pagamento_de_divida_privada | execucao | capital_social,"art. 1º e disposições sobre emissão, circulação, garantias e registro",lei_13986_2020 | decreto_10828_2021 | cpc_2015 | b3_cpr,Núcleo da base jurídica da CPR.
lei_13986_2020,Lei nº 13.986/2020 — aperfeiçoamento do crédito rural e alterações na CPR,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l13986.htm,2020-04-07,2026-06-24,CPR | registro | agronegocio | garantias,capital_social | garantia_colateral | cessao_de_credito | cra_securitizacao,alterações no regime da CPR e registro,lei_8929_1994_cpr | cmn_resolucao_4927_2021 | b3_cpr,Confirmar texto consolidado e dispositivos aplicáveis ao título específico.
decreto_10828_2021,Decreto nº 10.828/2021 — CPR vinculada à conservação e recuperação de florestas,decreto_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/decreto/d10828.htm,2021-10-01,2026-06-24,CPR Verde | serviços ecossistêmicos | certificação,psa | carbono | biodiversidade | capital_social,arts. 1º a 4º; objeto e certificação por terceira parte,lei_8929_1994_cpr | lei_14119_2021_psa | lei_15042_2024_sbce,Não converter automaticamente em crédito de carbono ou biodiversidade.
lei_14119_2021_psa,Lei nº 14.119/2021 — Política Nacional de Pagamento por Serviços Ambientais,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14119.htm,2021-01-13,2026-06-24,PSA | serviços ambientais | ambiental,psa | carbono | biodiversidade,conceitos e instrumentos de PSA,decreto_10828_2021 | lei_15042_2024_sbce,CPR Verde pode ser contratualmente associada a PSA; não se confunde automaticamente com PSA.
lei_15042_2024_sbce,Lei nº 15.042/2024 — Sistema Brasileiro de Comércio de Emissões de Gases de Efeito Estufa,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l15042.htm,2024-12-11,2026-06-24,SBCE | carbono | dupla contagem | APP | Reserva Legal,carbono | biodiversidade | psa | auditoria,"arts. 2º, 46 e 47",decreto_10828_2021 | lei_12651_2012_codigo_florestal,Não trata CPR Verde como ativo automaticamente elegível para todas as finalidades.
lei_12651_2012_codigo_florestal,Lei nº 12.651/2012 — Código Florestal,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,2012-05-25,2026-06-24,APP | Reserva Legal | CAR | florestal,carbono | biodiversidade | psa | auditoria,"APP, Reserva Legal, CAR, regularidade ambiental",lei_15042_2024_sbce | decreto_10828_2021,Usar para validar obrigações ambientais e restrições do imóvel/área.
lei_13123_2015,Lei nº 13.123/2015 — acesso ao patrimônio genético e conhecimento tradicional associado,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13123.htm,2015-05-20,2026-06-24,biodiversidade | patrimonio genetico | conhecimento tradicional | repartição de benefícios,biodiversidade | auditoria,"acesso, cadastro, repartição de benefícios",lei_15042_2024_sbce,Não cria crédito de biodiversidade por si só.
codigo_civil_2002,Lei nº 10.406/2002 — Código Civil,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/leis/2002/l10406compilada.htm,2002-01-10,2026-06-24,cessão de crédito | dação em pagamento | novação | Ltda | capital social,capital_social | pagamento_de_divida_privada | cessao_de_credito | garantia_colateral,arts. 286 a 298; 356; 360; 997; 1055,lei_8929_1994_cpr | lei_6404_1976_sa | cpc_2015,"Fonte geral para direitos creditórios, dívidas privadas e capital de Ltda."
cpc_2015,Lei nº 13.105/2015 — Código de Processo Civil,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13105.htm,2015-03-16,2026-06-24,execução | título executivo extrajudicial | cobrança,execucao | recuperacao_de_credito,art. 784 e procedimento executivo,lei_8929_1994_cpr | codigo_civil_2002,Conferir aderência da CPR específica aos requisitos de exigibilidade e liquidez.
