id,title,kind,authority,status,url,topics,applications,full_text
constituicao_federal_1988,Constituição da República Federativa do Brasil de 1988,constituicao,Presidência da República,vigente,https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,constituição|ordem econômica|meio ambiente|tributação|propriedade,capital_social|tributacao|ambiental,collect
lei_8929_1994,Lei nº 8.929/1994 — Cédula de Produto Rural (CPR),lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/l8929.htm,CPR|emissão|circulação|endosso|garantia|registro|execução,capital_social|garantia_colateral|cessao|execucao|divida_privada,collect
lei_13986_2020,Lei nº 13.986/2020 — aperfeiçoamento do crédito rural e alterações na CPR,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l13986.htm,CPR|registro|deposito|escritural|agro,capital_social|garantia_colateral|cessao|cra_securitizacao,collect
decreto_10828_2021,Decreto nº 10.828/2021 — CPR ligada à conservação e recuperação de florestas,decreto,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/decreto/d10828.htm,CPR Verde|produto rural ambiental|certificação terceira parte,cpr_verde|lastro|mrv|integralizacao,collect
lei_14119_2021,Lei nº 14.119/2021 — Política Nacional de Pagamento por Serviços Ambientais,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14119.htm,PSA|serviços ambientais|programas,psa|contratos|remuneração,collect
lei_15042_2024,Lei nº 15.042/2024 — Sistema Brasileiro de Comércio de Emissões (SBCE),lei_federal,Presidência da República,vigente_com_regulamentacao_pendente,https://www2.camara.leg.br/legin/fed/lei/2024/lei-15042-11-dezembro-2024-796690-normaatualizada-pl.html,SBCE|CRVE|crédito de carbono|CVM|registro|titularidade,carbono|mercado_financeiro|capital_social|compensacao_voluntaria,verified_excerpt_plus_collect
lei_12651_2012,Lei nº 12.651/2012 — Código Florestal,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,APP|Reserva Legal|crédito de carbono|CAR,lastro_ambiental|carbono|regularidade,collect
lei_13123_2015,Lei nº 13.123/2015 — acesso ao patrimônio genético e repartição de benefícios,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13123.htm,biodiversidade|SISGen|conhecimento tradicional,biodiversidade|compliance,collect
codigo_civil_2002,Lei nº 10.406/2002 — Código Civil,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/2002/l10406compilada.htm,cessão de crédito|sociedade limitada|capital social|bens e direitos,capital_social|cessao|garantias|contratos,collect
cpc_2015,Lei nº 13.105/2015 — Código de Processo Civil,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13105.htm,execução|título executivo extrajudicial|penhora,execucao|cobranca|garantia,collect
lei_6404_1976,Lei nº 6.404/1976 — Lei das Sociedades por Ações,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/l6404consol.htm,S.A.|capital social|bens|laudo de avaliação,capital_social|valuation|governanca,collect
lei_9249_1995,Lei nº 9.249/1995 — tributação; integralização de bens e direitos,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/l9249.htm,IRPF|ganho de capital|integralização,tributacao|capital_social,collect
ctn_1966,Lei nº 5.172/1966 — Código Tributário Nacional,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/l5172compilado.htm,tributo|compensação tributária|crédito tributário,tributacao|compensacao_tributaria,collect
